=== 2026-09-23T07:09:44Z import start on 8fdaa2ab94a274e04095d7124d546eb0cd14c961 (dev) ; df: 53G free
2026-09-23 07:12:31 [info     ] imported                       batches=9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:31 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02.zip
2026-09-23 07:12:34 [info     ] imported_batch                 batch=9/9 interval=5m month=2 pair=BTC/USDT rows=8352 year=2024
2026-09-23 07:12:34 [info     ] imported                       batches=9 interval=5m month=2 pair=BTC/USDT rows=8352 year=2024
2026-09-23 07:12:34 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-03.zip
2026-09-23 07:12:38 [info     ] imported_batch                 batch=9/9 interval=5m month=3 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:38 [info     ] imported                       batches=9 interval=5m month=3 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:38 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-04.zip
2026-09-23 07:12:41 [info     ] imported_batch                 batch=9/9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:12:41 [info     ] imported                       batches=9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:12:41 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-05.zip
2026-09-23 07:12:46 [info     ] imported_batch                 batch=9/9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:46 [info     ] imported                       batches=9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:46 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-06.zip
2026-09-23 07:12:50 [info     ] imported_batch                 batch=9/9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:12:50 [info     ] imported                       batches=9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:12:50 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-07.zip
2026-09-23 07:12:54 [info     ] imported_batch                 batch=9/9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:54 [info     ] imported                       batches=9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:54 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-08.zip
2026-09-23 07:12:59 [info     ] imported_batch                 batch=9/9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:59 [info     ] imported                       batches=9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:12:59 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-09.zip
2026-09-23 07:13:03 [info     ] imported_batch                 batch=9/9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:13:03 [info     ] imported                       batches=9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:13:03 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-10.zip
2026-09-23 07:13:08 [info     ] imported_batch                 batch=9/9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:13:08 [info     ] imported                       batches=9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:13:08 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-11.zip
2026-09-23 07:13:12 [info     ] imported_batch                 batch=9/9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:13:12 [info     ] imported                       batches=9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2024
2026-09-23 07:13:12 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-12.zip
2026-09-23 07:13:17 [info     ] imported_batch                 batch=9/9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:13:17 [info     ] imported                       batches=9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2024
2026-09-23 07:13:17 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-01.zip
2026-09-23 07:13:21 [info     ] imported_batch                 batch=9/9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:21 [info     ] imported                       batches=9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:21 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-02.zip
2026-09-23 07:13:25 [info     ] imported_batch                 batch=9/9 interval=5m month=2 pair=BTC/USDT rows=8064 year=2025
2026-09-23 07:13:25 [info     ] imported                       batches=9 interval=5m month=2 pair=BTC/USDT rows=8064 year=2025
2026-09-23 07:13:25 [info     ] progress                       pct=4.1% processed=50 total=1224 total_rows=437547
2026-09-23 07:13:25 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-03.zip
2026-09-23 07:13:30 [info     ] imported_batch                 batch=9/9 interval=5m month=3 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:30 [info     ] imported                       batches=9 interval=5m month=3 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:30 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-04.zip
2026-09-23 07:13:34 [info     ] imported_batch                 batch=9/9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:13:34 [info     ] imported                       batches=9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:13:34 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-05.zip
2026-09-23 07:13:39 [info     ] imported_batch                 batch=9/9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:39 [info     ] imported                       batches=9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:39 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-06.zip
2026-09-23 07:13:44 [info     ] imported_batch                 batch=9/9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:13:44 [info     ] imported                       batches=9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:13:44 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-07.zip
2026-09-23 07:13:48 [info     ] imported_batch                 batch=9/9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:48 [info     ] imported                       batches=9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:48 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-08.zip
2026-09-23 07:13:53 [info     ] imported_batch                 batch=9/9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:53 [info     ] imported                       batches=9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:13:53 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-09.zip
2026-09-23 07:13:58 [info     ] imported_batch                 batch=9/9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:13:58 [info     ] imported                       batches=9 interval=5m month=9 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:13:58 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-10.zip
2026-09-23 07:14:03 [info     ] imported_batch                 batch=9/9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:14:03 [info     ] imported                       batches=9 interval=5m month=10 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:14:03 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-11.zip
